x,y
0.0,7.643805008750448
0.13513513513513514,6.147067109449315
0.2702702702702703,5.347931245014211
0.40540540540540543,6.102440471989924
0.5405405405405406,1.9167540626901065
0.6756756756756757,5.425521089189841
0.8108108108108109,6.55206298086133
0.945945945945946,8.766598900293843
1.0810810810810811,4.747243347236489
1.2162162162162162,4.139769550970382
1.3513513513513513,4.726215642560657
1.4864864864864866,7.533506938106851
1.6216216216216217,6.333177894995044
1.7567567567567568,4.589128241114571
1.891891891891892,6.648156487848334
2.027027027027027,5.788749693290676
2.1621621621621623,7.504857548633346
2.2972972972972974,4.136434352785836
2.4324324324324325,4.858189220317977
2.5675675675675675,4.702270180222172
2.7027027027027026,2.5324295631952225
2.837837837837838,6.024672986561584
2.9729729729729732,5.9275159497651835
3.1081081081081083,5.3886052916633
3.2432432432432434,4.882177084601057
3.3783783783783785,2.493582840223496
3.5135135135135136,4.456006651766579
3.6486486486486487,4.5848412372167315
3.783783783783784,3.638688704800005
3.9189189189189193,4.8936447928841975
4.054054054054054,5.997290902818266
4.1891891891891895,8.934533964583222
4.324324324324325,5.484290760798813
4.45945945945946,5.623208889553637
4.594594594594595,4.932189249548746
4.72972972972973,1.2165116234559714
4.864864864864865,4.973999276128594
5.0,5.120460419882053
5.135135135135135,9.899457197943544
5.27027027027027,4.561224016383701
5.405405405405405,5.522013603586144
5.540540540540541,4.822468352481405
5.675675675675676,2.527508789625801
5.810810810810811,7.123483466867879
5.9459459459459465,6.314676876184359
6.081081081081082,6.365847677869877
6.216216216216217,2.9379818471672783
6.351351351351352,7.535318351601928
6.486486486486487,1.8990005771181409
6.621621621621622,5.849389863276216
6.756756756756757,9.029559900268605
6.891891891891892,2.6405489713602446
7.027027027027027,3.4619991353890507
7.162162162162162,4.76687029774285
7.297297297297297,3.5335892323081417
7.4324324324324325,1.4121866513812478
7.567567567567568,4.623612436098541
7.7027027027027035,2.33485203200725
7.837837837837839,5.379617293702796
7.972972972972974,2.5665569369377987
8.108108108108109,7.478247188413457
8.243243243243244,2.7848447666788765
8.378378378378379,3.680201291912973
8.513513513513514,5.924331732036637
8.64864864864865,1.8085416374023597
8.783783783783784,4.6981631124515015
8.91891891891892,6.830501724781072
9.054054054054054,0.9742227200667344
9.18918918918919,4.531429879226771
9.324324324324325,4.654900723631982
9.45945945945946,5.671753851662729
9.594594594594595,1.6071796593249168
9.72972972972973,1.4131408278855018
9.864864864864865,5.070910158260823
10.0,4.5939693464663724
